SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE,LONGITUDE,LATITUDE_BACKUP,LONGITUDE_BACKUP,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE PORT,DESTINATION PORT,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,MAP,LOST,PHOTO ON FILE,MISC INFORMATION,LAT,LON
Wade Hampton (1923),,William Garner,Steamship,1877.0,"Charleston, SC",1923-11-16,1923.0,11,16,Cape May McCries Buoy NW .25 mi,,,38.9351125,-74.9060053,Struck submerged object,Wood,,96.9,20.6,8.9,123.0,84.0,"Philadelphia, PA","Philadelphia, PA","New York, NY",Carl Christianson,4.0,,0.0,25000.0,,,,Y,Y,N,#80641; Sank; Total loss,38.9351125,-74.9060053
Whitehaven,,Southern Transportation Co,Schooner - Barge,1919.0,"White Haven, MD",1923-10-05,1923.0,10,5,Sandy Hook Romer Shoal,,,41.4218208,-73.2833176,Stranded,Wood,,228.0,37.7,19.1,1293.0,1217.0,"Philadelphia, PA",,"Kearny, NJ",T Axelson,4.0,,0.0,40000.0,13500.0,2226 ton coal,,N,N,N,"#219399; Refloated by tug ""Liberty""",41.4218208,-73.2833176
Essex (1923),,,Steamship,1885.0,"Baltimore, MD",1923-06-05,1923.0,6,5,Beach Haven,,,39.5592848,-74.2431962,Foundered,Wood,US,141.5,28.0,12.2,389.0,193.0,"Wilmington, DE","Norfolk, VA","New York, NY",,16.0,,0.0,,,,,,,Y,#135855,39.5592848,-74.2431962
Pittsburg (1923),,,Motor vessel gas,1901.0,"Atlantic City, NJ",1923-04-01,1923.0,4,1,Atlantic City,,,39.3642834,-74.4229266,Stranded,,,52.0,16.4,5.0,23.0,14.0,"Philadelphia, PA",,Fishing service,,2.0,,0.0,2500.0,225.0,,Ocean City,N,N,N,#150922; Refloated,39.3642834,-74.4229266
Charlotte A Maxwell,,Gilmartin & Trundy,Schooner 3 masted,1917.0,"Camden, ME",1923-03-27,1923.0,3,27,Sandy Hook Shoal,,,41.4218208,-73.2833176,Stranded,Wood,US,167.2,35.8,14.0,688.0,579.0,"New York, NY","New York, NY","Wilmington, NC",Tinker,7.0,,0.0,,,Cement,,,,N,#214808,41.4218208,-73.2833176
Right Arm,,,Steamship,1891.0,"Athens, NY",1923-04-22,1923.0,4,22,Atlantic City,39.33684,-74.45687,39.3642834,-74.4229266,Stranded,,,124.4,27.0,10.5,238.0,193.0,"New York, NY",,Towing service,,12.0,,0.0,,,,,A,,N,#110962,39.33684,-74.45687
Priscilla,,,Motor vessel,1893.0,"Hyannis, MA",1923-07-16,1923.0,7,16,Harvey Cedars,,,39.706231,-74.1340253,Stranded; Sruck some object,Wood,,32.7,15.0,4.7,9.0,,"Philadelphia, PA",Harvey Cedars,"Atlantic City, NJ",Albert S Hall,2.0,,0.0,1000.0,500.0,17 barrels fish,Harvey Cedars,Y,Y,N,Total loss; Broke up,39.706231,-74.1340253
Estelle Krieger,Mary T Quinby,Boston Maritime Co,Schooner,1899.0,"Thomaston, ME",1923-02-09,1923.0,2,9,"Ship Bottom, NJ",,,39.642897,-74.1804159,Stranded,Wood,US,184.8,40.3,18.8,1172.0,1047.0,"Boston, MA",,,,9.0,,0.0,,,Soft coal,,N,N,Y,#92977; Refloated,39.642897,-74.1804159
Gertrude (1923),,,Motor vessel gas,1911.0,"Belhaven, NC",1923-10-06,1923.0,10,6,Barnegat,,,39.7649223,-74.2693297,Foundered,,,44.5,9.0,6.9,12.0,,"New York, NY",,,,14.0,0.0,0.0,,,,,Y,Y,N,#208844; Total loss,39.7649223,-74.2693297
Samuel H Hartman,,,Tug steam,1871.0,"Wilmington, DE",1923-07-25,1923.0,7,25,Delaware Bay,,,39.1201705,-75.2479061,Foundered,,,130.0,23.5,9.0,245.0,131.0,"Philadelphia, PA",,,,4.0,,,,,,,,,N,Towing Service,39.1201705,-75.2479061
William S MacDonald,,Fraser Gray,Schooner 3 masted,1920.0,"Day Springs, NS",1923-10-24,1923.0,10,24,Sandy Hook,,,41.4218208,-73.2833176,Abandoned,,England,122.5,28.0,11.2,262.0,251.0,"LaHavre, QC, Canada","Havana, Cuba",St Pierre et Miquelon,,,,,,,Alcohol,,,,N,#141776,41.4218208,-73.2833176
Northern #34,,,Schooner - Barge,1919.0,"Havre De Grace, MD",1924-02-04,1924.0,2,4,Sandy Hook False Hook,,,41.4218208,-73.2833176,Stranded,,,246.7,43.5,23.2,1946.0,1840.0,"Wilmington, DE",,,,5.0,,0.0,,,Coal,,,,N,#218663,41.4218208,-73.2833176
Mary Emma and Lizzie,,,Motor vessel,1886.0,"Bayport, NY",1924-03-01,1924.0,3,1,"Highlands, NJ",,,40.40372,-73.991527,Stranded,,,31.0,12.0,3.9,10.0,,"Perth Amboy, NJ",,Fishing service,,2.0,,0.0,,,,,Y,Y,N,#92334; Total loss,40.40372,-73.991527
Mistletoe (1924),,Mistletoe Fishing Assoc,Sidewheel steam,1872.0,"Chester, PA",1924-10-05,1924.0,10,5,Sandy Hook,,,41.4218208,-73.2833176,Burned,Wood,US,152.6,26.7,9.1,362.0,147.0,"New York, NY","New York, NY",Fishing trip,James D Gully,10.0,74.0,0.0,15000.0,,,,,Y,Y,#222226; Total loss,41.4218208,-73.2833176
Alma (1924),,Gustave Johnson,Motor vessel gas,1917.0,"Wildwood, NJ",1924-01-05,1924.0,1,5,Five Fathom Bank Lightship,,,-32.1944444,115.6113889,Foundered after engine failure,Wood,,31.3,10.9,4.7,8.0,6.0,"Philadelphia, PA","Wildwood, NJ",Fishing trip,Gustave Johnson,5.0,,0.0,2000.0,,200 lb cod,,Y,Y,N,#214953; Total loss,-32.1944444,115.6113889
Jenne,,,Motor vessel,1917.0,"Toltenville, NY",1924-11-14,1924.0,11,14,Sandy Hook,,,41.4218208,-73.2833176,Foundered,,,52.0,15.4,7.2,31.0,25.0,"New York, NY",,,,2.0,,0.0,,,,,,,N,#215256,41.4218208,-73.2833176
Eleanor,,,Motor vessel,1888.0,"Greenport, NY",1924-11-01,1924.0,11,1,Cape May,,,38.9351125,-74.9060053,Stranded,,,47.2,17.0,7.1,27.0,25.0,"New York, NY",,,,5.0,,0.0,,,,,,,N,#135992,38.9351125,-74.9060053
Amelia (1924),,Atlantic Naval Co,Steamship,1906.0,"Wallsend-on-Tyne, England",1924-02-18,1924.0,2,18,Brigantine Shoal,,,39.387617,-74.3345893,Stranded,Steel,US,227.3,31.7,13.7,1271.0,743.0,"New York, NY",,,,23.0,,,60000.0,,Bananas,,N,N,N,#215327; Refloated,39.387617,-74.3345893
Arthur James,,,Schooner,1904.0,"Essex, MA",1925-04-29,1925.0,4,29,Atlantic City SE 40 mi,,,39.3642834,-74.4229266,Lost foremast & mainmast,,,103.4,24.8,10.6,135.0,95.0,"Gloucester, MA",,Fishing service,A S A Baber,20.0,,20.0,,,,,N,N,N,Repaired,39.3642834,-74.4229266
Rosemary,,,Yacht gas,1907.0,"Quincy, MA",1925-01-11,1925.0,1,11,Sandy Hook Romer Shoal,,,41.4218208,-73.2833176,Burned,Wood,US,58.6,13.6,6.0,30.0,,,,,,3.0,,0.0,,,,,Y,Y,N,#223384; Total loss,41.4218208,-73.2833176
Corvallis,,First National Pictures,Freighter,1919.0,"Portland, OR",1925-06-16,1925.0,6,16,Surf City E 48 mi,39.65000,-73.21666,34.4271121,-77.5460805,Burned,Wood,US,267.8,49.8,25.6,2992.0,1724.0,"Portland, OR",,,,,,0.0,,,,,A,Y,N,#218310; sunk as movie prop,39.65,-73.21666
Edwin G Farrar,,Charles F Webb,Schooner,1912.0,"Phillipsburg, ME",1925-12-12,1925.0,12,12,Shrewsbury Gas Buoy,,,52.7073029,-2.7553268,"Collision w/ ""Miller County""",Wood,US,156.2,34.6,14.2,556.0,484.0,"Boston, MA",,,,7.0,,,,,,,,,N,#210477,52.7073029,-2.7553268
Mohawk (1925),,Clyde SS Co,Passenger liner,1908.0,"Philadelphia, PA",1925-01-01,1925.0,1,1,Cape May 14 Foot Bank,39.00166,-74.20660,38.9351125,-74.9060053,Scuttled to extinguish fire,Steel,US,367.0,48.3,20.4,4623.0,3475.0,"New York, NY","New York, NY","Jacksonville, FL",James A Staples,82.0,208.0,0.0,2000000.0,,"Frieght, motor cars",,A,Y,Y,#205729,39.00166,-74.2066
Iona,,Jacob Driscoll,Motor vessel,1918.0,"Atlantic City, NJ",1925-03-10,1925.0,3,10,Brigantine Shoal,,,39.387617,-74.3345893,Foundered,Wood,,33.3,10.0,3.8,9.0,,"Philadelphia, PA",,,Jacob Driscoll,3.0,,0.0,4800.0,,,,Y,Y,N,#216725; Crew saved; Total loss,39.387617,-74.3345893
Shamokin,L A Demasey,,Schooner - Barge,1904.0,"Elkton, MD",1925-05-11,1925.0,5,11,Scotland Lightship,,,56.4906712,-4.2026458,Foundered,,,193.0,35.2,13.7,839.0,829.0,"New York, NY",,,,3.0,,,,,,,,,N,"#201006; Formerly ""L A Demasey""",56.4906712,-4.2026458
Crystal,,Edward Conover,Motor vessel,1909.0,"St Joseph, MI",1925-06-11,1925.0,6,11,Absecon Inlet S 4 mi,,,39.3740643,-74.4097029,Burned; Sank,Wood,,58.0,13.4,5.6,37.0,33.0,"Philadelphia, PA","Atlantic City, NJ",Fishing trip,Bruce Brown,2.0,25.0,5.0,5500.0,,,,Y,Y,N,#206669,39.3740643,-74.4097029
Commack,,Puritan Lumber Co,Schooner,1918.0,"Wilmington, DE",1925-01-20,1925.0,1,20,Sandy Hook,,,41.4218208,-73.2833176,Stranded,Wood,US,228.6,40.0,19.0,1446.0,1330.0,"New London, CT",,,W B Alberta,10.0,,0.0,,1875.0,Lumber & ties,,N,N,Y,#216356; Refloated,41.4218208,-73.2833176
Balsa,,A D Cummins,Schooner,1919.0,"Yarmouth, NS",1925-04-23,1925.0,4,23,Sandy Hook Romer Shoal,,,41.4218208,-73.2833176,Stranded,Wood,US,161.1,35.6,13.0,557.0,514.0,"Philadelphia, PA","Philadelphia, PA","New York, NY",Erickson,8.0,0.0,0.0,10000.0,,,,,,N,#219352,41.4218208,-73.2833176
Daytona,,Southern Transportation Co,Schooner - Barge,1919.0,"Jacksonville, FL",1925-10-10,1925.0,10,10,Five Fathom Bank Lightship SE 12 mi,,,-32.1944444,115.6113889,Foundered in gale,Wood,,228.1,37.0,19.3,1313.0,1212.0,"Philadelphia, PA","Norfolk, VA","New York, NY",John R. Dawes,5.0,0.0,0.0,60000.0,11500.0,Bituminous coal,,,,N,#219130; 4 of 5 crew on board,-32.1944444,115.6113889
Miller County,,Sun Oil Co,Tanker,1920.0,"Baltimore, MD",1925-12-12,1925.0,12,12,Shrewsbury Gas Buoy,,,52.7073029,-2.7553268,"Collision w/ ""Edwin G Farrar""",Steel,,431.0,59.2,33.3,7050.0,,"Philadelphia, PA","New York, NY","Marcus Hook, PA",F H Schee,33.0,,0.0,750000.0,,In ballast,,,,N,#219954,52.7073029,-2.7553268
Iberia (1925),,Southern Transportation Co,Schooner - Barge,1919.0,"Morgan City, LA",1925-10-10,1925.0,10,10,Five Fathom Bank Lightship SE 12 mi,,,-32.1944444,115.6113889,Foundered in gale,Wood,,227.2,37.5,18.7,1208.0,1145.0,"Philadelphia, PA","Norfolk, VA","New York, NY","H S Johnson, Brooklyn, NY",4.0,,0.0,60000.0,11500.0,2150 ton coal,,Y,Y,Y,#218602; Total loss,-32.1944444,115.6113889
Bonito (1925),,G F Soper,Motor vessel,1889.0,"Nyack, NY",1925-01-31,1925.0,1,31,Angelsea bar,,,-38.4073164,144.1859975,Foundered,,,38.5,13.6,5.6,15.0,13.0,"Philadelphia, PA","Cape May, NJ",Fishing service,C A Soper,3.0,0.0,0.0,3500.0,160.0,500 lbs fish,,Y,Y,N,#3507; Total loss,-38.4073164,144.1859975
Lizzie M Parsons,,Nathaniel Falker & F S Pendelton,Schooner,1902.0,"Bath, ME",1925-02-15,1925.0,2,15,Brigantine Beach,39.39489,-74.37234,39.4020614,-74.3668129,Stranded,Wood,US,171.9,35.3,13.3,655.0,571.0,"Philadelphia, PA","Jacksonville, FL","Atlantic City, NJ",Nathaniel Falker,8.0,,0.0,,,Lumber,,A,,N,#141769,39.39489,-74.37234
Iron Queen,,Consolidated Fisheries Co,Schooner - Barge,1887.0,"Detroit, MI",1926-07-16,1926.0,7,16,"Ludlams Beach, NJ",,,39.1476143,-74.6943277,Foundered,Wood,US,242.0,38.7,17.6,1384.0,1321.0,"Wilmington, DE","Norfolk, VA","Boston, MA",,4.0,,0.0,,,Coal,,,,N,#199413,39.1476143,-74.6943277
Seneca (1926),,Gulf Refining Co,Tanker barge,1921.0,"Chickasaw, AL",1926-11-27,1926.0,11,27,"Margate City, NJ",,,39.327894,-74.5034858,Stranded,Steel,US,175.2,39.9,10.5,653.0,646.0,"Arthur, TX",,,,,,,47000.0,29800.0,9500 bbls solar oil,,N,N,N,#168334; Refloated,39.327894,-74.5034858
Metropolitan 21,,Metropolitan Coal Co,Schooner - Barge,1901.0,"Baltimore, MD",1926-02-04,1926.0,2,4,Barnegat Shoal,39.76541,-74.10105,39.7705251,-74.26185,Foundered,Wood,US,196.0,34.3,17.5,905.0,773.0,"Boston, MA","Norfolk, VA","Boston, MA",Thomas Langford,3.0,,1.0,,,Coal,"Forked River, Barnegat, Cedar Creek, Loveladies",A,Y,N,"#130910;  20,21,28 in tow of ""Georges Creek""",39.76541,-74.10105
Phoenix (1926),,,Schooner - Barge,1898.0,"Noank, CT",1926-02-03,1926.0,2,3,Sandy Hook,,,41.4218208,-73.2833176,Stranded,Wood,,194.0,35.0,7.6,901.0,838.0,"Philadelphia, PA","Norfolk, VA","New York, NY",,3.0,,3.0,,,Coal,,,,N,#150795,41.4218208,-73.2833176
Wellington,,,Steamship,1904.0,"Port Richmond, NY",1926-02-05,1926.0,2,5,Brigantine Shoal SE 4.5 mi,39.44666,-74.21333,-,-,"Collision w/ ""Ardmore""",Steel,US,126.0,27.0,15.8,334.0,227.0,"Philadelphia, PA","Eastport, FL","New York, NY",,18.0,,0.0,,,,,A,Y,N,#201287; Total loss,39.44666,-74.21333
Charles A Campbell,,Matowac Corp,Schooner,1890.0,"Bath, ME",,1926.0,,,Bayonne,,,40.6687141,-74.1143091,Abandoned,,,228.3,46.4,21.6,1586.0,1493.0,"Bath, ME",,,Henry W Hall,,,,,,,,N,N,N,Laid up & abandoned,40.6687141,-74.1143091
T J Hooper,,,Schooner - Barge,1908.0,"Sharpton, MD",1926-01-09,1926.0,1,9,"Highlands, NJ",,,40.40372,-73.991527,Foundered,Wood,US,204.0,35.2,13.5,722.0,697.0,"Wilmington, DE","Hampton Roads, VA","New York, NY",,2.0,1.0,3.0,,,Coal,,,,N,,40.40372,-73.991527
Sibyl,,,Fishing boat,1902.0,"Port Jefferson, NY",1926-04-15,1926.0,4,15,Hereford Inlet,,,39.01094,-74.7834445,Stranded,,,51.4,15.2,7.3,29.0,18.0,"Gloucester, MA",,Fishing service,,6.0,,0.0,,,,,,,N,#117133,39.01094,-74.7834445
Metropolitan 28,Black Sheridan,Metropolitan Coal Co,Schooner - Barge,1899.0,"Bath, ME",1926-02-04,1926.0,2,4,Barnegat,,,39.7649223,-74.2693297,Foundered,Wood,US,207.0,35.2,18.4,1035.0,929.0,"Boston, MA","Norfolk, VA","Boston, MA",,3.0,,3.0,,,Coal,"Barnegat, Harvey Cedars, Loveladies",Y,Y,N,"#3792;  20,21,28 in tow of ""Georges Creek""",39.7649223,-74.2693297
Osceola (1926),,Westmoreland Coal Co,Schooner,1918.0,"Bath, ME",1926-04-19,1926.0,4,19,Barnegat E 1 mi,,,39.6803897,-74.2377252,Struck submerged object,Wood,,245.9,41.2,20.1,1621.0,1472.0,"Philadelphia, PA","Hampton Roads, VA","Newburyport, MA",Harry Parsons,5.0,,0.0,50000.0,10000.0,1862 ton coal,,N,N,N,"#215253; Towed by tug ""Prudence""",39.6803897,-74.2377252
W M Irish,,Atlantic Refining Co,Tanker steam,1917.0,"Alameda, CA",1926-03-31,1926.0,3,31,Cape May Overfalls Lightship N 4 mi,,,38.9351125,-74.9060053,"Collision w/ ""Cape Cod""",Steel,,435.0,56.0,32.0,7123.0,4496.0,"Philadelphia, PA","Philadelphia, PA","San Pedro, CA",K E Olsen,32.0,,0.0,1000000.0,,None; in ballast,,,,N,#216249,38.9351125,-74.9060053
Metropolitan 20,,Metropolitan Coal Co,Schooner - Barge,1899.0,"Bath, ME",1926-02-04,1926.0,2,4,Barnegat Light,,,39.7576202,-74.1062466,Foundered,Wood,US,190.3,18.3,18.1,,940.0,"Boston, MA","Norfolk, VA","Boston, MA",,3.0,,,,,Coal,,Y,Y,N,"#130844; 20,21,28 in tow of ""Georges Creek""",39.7576202,-74.1062466
South Shore (1926),,William H Mills,Sidewheel steam,1906.0,"Quincy, MA",1926-10-31,1926.0,10,31,"Port Newark, NJ",,,40.0583238,-74.4056612,Foundered,Steel,US,200.0,32.5,11.5,874.0,516.0,"New York, NY",,,,30.0,,0.0,,,,,N,N,N,#203001,40.0583238,-74.4056612
Cape Cod,,Cape Steamship Co,Tanker steam,1920.0,"Oakland, CA",1926-03-31,1926.0,3,31,Cape May Overfalls Lightship N 4 mi,,,38.9351125,-74.9060053,"Collision w/ ""W M Irish""",Steel,US,425.8,57.0,31.2,7017.0,4357.0,"Philadelphia, PA","Port Arthur, TX","Philadelphia, PA",Peter Ford,34.0,,0.0,550000.0,229806.0,9000 ton crude oil,,N,N,N,#219755; Partial loss,38.9351125,-74.9060053
Cohasset,,Eugene W Fry,Schooner,1921.0,"Noank, CT",1926-11-16,1926.0,11,16,Brigantine Gas Buoy,,,39.4101171,-74.3645906,Damaged in storm,Wood,US,267.3,46.3,23.6,2226.0,2142.0,"Philadelphia, PA","Norfolk, VA","Boston, MA",Howard Gregory,5.0,,0.0,50000.0,,Coal,,N,N,N,#221605; Towed to NY for repairs,39.4101171,-74.3645906
Thomas Tracy (1926),Pottawotamie,Thomas Tracy,Tug steam,1919.0,"Green Bay, WI",1926-11-16,1926.0,11,16,Atlantic City,,,39.3642834,-74.4229266,Foundered,Wood,,95.5,24.7,12.2,176.0,29.0,"New York, NY","Bayonne, NJ","Philadelphia, PA",,14.0,,0.0,,,,,,,N,"#219146; Formerly ""Pottawotamie""",39.3642834,-74.4229266
Ormond,,,Schooner - Barge,1919.0,"Jacksonville, FL",1926-01-09,1926.0,1,9,"Highlands, NJ",40.42333,-73.90000,40.40372,-73.991527,Foundered,Wood,,228.1,37.0,19.3,1313.0,1212.0,"Baltimore, MD",,,,4.0,,4.0,,,Coal,,A,Y,N,#219129; Total loss,40.42333,-73.9
Searsport,,Southern Transportation Co,Barge,1919.0,"Sandy Point, ME",1926-02-04,1926.0,2,4,Barnegat Gas buoy ENE,,,39.7649223,-74.2693297,,Wood,,229.3,37.9,18.8,1321.0,1193.0,"Philadelphia, PA","Norfolk, VA","New York, NY",Nelson Farrow,4.0,,4.0,60000.0,11500.0,Coal,,,,N,"#219002; In tow of ""Brattleboro""",39.7649223,-74.2693297
Henry Crocker,,Henry Crocker,Schooner,1904.0,"Patchogue, NY",1927-05-27,1927.0,5,27,Sandy Hook,,,41.4218208,-73.2833176,Stranded,,,66.0,24.8,4.8,43.0,40.0,"New York, NY",,,,2.0,,0.0,,,,,,,N,#200752,41.4218208,-73.2833176
West Point,,Neptune Line,Schooner - Barge,1866.0,"Glasgow, Scotland",1927-02-19,1927.0,2,19,Tuckers Beach,,,-44.9872536,168.7489064,Stranded,Iron,,220.0,38.7,22.3,1213.0,1168.0,"New York, NY","Norfolk, VA","Boston, MA",,3.0,,0.0,,,Soft coal,,,,N,#81350,-44.9872536,168.7489064
Fred W Thurlow,,Crowell & Thurlow,Schooner,1901.0,"Bath, ME",1927-04-09,1927.0,4,9,"Highlands Light, NJ",,,40.40372,-73.991527,Foundered,,US,195.0,40.0,18.4,1191.0,1042.0,"Boston, MA",,Freight service,Frank W Patten,,,0.0,,,,,,,N,#93102; May have been abandoned,40.40372,-73.991527
Northern #19,,Joseph F O'Boyle,Barge,1918.0,"Baltimore, MD",1927-05-23,1927.0,5,23,Sandy Hook Romer Shoal,,,41.4218208,-73.2833176,Collision w/ submerged object,Wood,,202.4,30.2,12.8,739.0,686.0,"New York, NY",,,,,,0.0,,,,,,,N,#167144,41.4218208,-73.2833176
James Howard,,Thomas Howard,Barge,,"South Freeport, ME",1927-02-19,1927.0,2,19,Beach Haven S .25 mi,,,39.5592848,-74.2431962,Grounded in storm,Steel,,267.3,46.0,23.6,2184.0,2184.0,"New York, NY","Norfolk, VA","Boston, MA",,3.0,,,,,Soft coal,,N,N,N,#168466; Refloated,39.5592848,-74.2431962
E R Haggett,Margaret M Donohue,Eastern Transportation Co,Schooner - Barge,1910.0,"Elkton, MD",1927-10-05,1927.0,10,5,Brigantine Gas Buoy,,,39.4101171,-74.3645906,,,,199.3,21.1,11.7,696.0,655.0,"Wilmington, DE",,,,3.0,,0.0,,,,,,,N,"#207405; Formerly ""Margaret M Donohue""",39.4101171,-74.3645906
Millville,,T J Hooper,Schooner - Barge,1919.0,"Millville, NJ",1927-12-14,1927.0,12,14,Sea Girt E 4 mi,40.12901,-73.95310,40.1320592,-74.0345813,Foundered,Wood,,229.7,37.2,19.3,1213.0,1093.0,"Baltimore, MD","Norfolk, VA","Boston, MA",,3.0,,0.0,,,Coal,,A,Y,N,#218775; One of 3 American Barges,40.12901,-73.9531
Helena II,,Thomas L Orummord,Motor vessel,1914.0,"Bath, ME",1927-03-31,1927.0,3,31,"Wildwood, NJ",,,38.9917797,-74.8148894,"Collision w/ ""Alden""",Wood,,47.8,11.3,4.0,19.0,15.0,"Philadelphia, PA",,,,,,0.0,,,,,Y,Y,N,#223357; Sunk,38.9917797,-74.8148894
Richard T Green (1927),,Pittsburg Coal Co,Schooner,1918.0,"Chelsea, MA",,1927.0,,,"Morgan, NJ",,,40.4667731,-74.2682013,Burned,,,214.7,42.0,20.6,1467.0,1355.0,"Pittsburgh, PA",,,F W Crocket,,,,,,,,,,N,#216161,40.4667731,-74.2682013
Theodora Palmer,,Thames Tow Boat Co,Schooner - Barge,1900.0,"Noank, CT",1927-12-09,1927.0,12,9,Brigantine Gas Buoy,,,39.4101171,-74.3645906,Foundered,,,196.4,40.5,17.6,1042.0,910.0,"New London, CT",,,,4.0,,0.0,,,,,,,N,#145859,39.4101171,-74.3645906
Cecil P Stewart,,Dunn & Elliot,Schooner,1919.0,"Thomaston, ME",1927-02-17,1927.0,2,17,Harvey Cedars LSS NE 1 mi,39.67823,-74.14282,39.706231,-74.1340253,Stranded,Wood,US,222.0,41.0,18.0,1216.0,1040.0,"Rockland, ME","Brunswick, GA","New York, NY",James Fales,9.0,,0.0,50000.0,75000.0,Railroad Ties,Harvey Cedars; Ship Bottom,A,Y,Y,#217641; Total loss,39.67823,-74.14282
John H Winstead,,Eastern Transportation Co,Schooner - Barge,1922.0,"Baltimore, MD",1927-10-05,1927.0,10,5,Sea Girt Light E 4 mi,40.13787,-73.95078,40.1366584,-74.0275254,Foundered,Wood,US,214.5,36.1,16.2,1160.0,1120.0,"Wilmington, DE","Norfolk, VA","Boston, MA",,4.0,,0.0,,,Coal,,A,Y,N,#221970; Total loss,40.13787,-73.95078
Alert (1929),,,Motor vessel diesel,1917.0,"Norfolk, VA",1928-04-25,1928.0,4,25,Highlands Light,,,-,-,Foundered,,,105.4,15.0,8.1,78.0,32.0,,,,,6.0,,0.0,,,,,,,N,#223729; US Navy Subchaser #130,,
Northern #17,,Northern Barge Corp,Schooner - Barge,1918.0,"Havre De Grace, MD",1928-03-10,1928.0,3,10,Brigantine Shoal,,,39.387617,-74.3345893,Foundered,Wood,,204.6,35.0,14.7,961.0,,"Port Wilmington, DE","Hampton Roads, VA","Boston, MA",,4.0,,0.0,,,Coal,,,,N,#216992,39.387617,-74.3345893
Mohawk (1928),,Clyde SS Co,Passenger liner,1926.0,"Newport News, VA",1928-05-19,1928.0,5,19,Normandie near Asbury Park,,,40.2203907,-74.0120817,"Stranded after Collision w/ ""Jefferson""",Steel,US,387.5,54.3,31.6,5896.0,3574.0,"New York, NY","New York, NY","Jacksonville, FL",,125.0,87.0,0.0,9590000.0,256000.0,General,,N,N,Y,Refloated,40.2203907,-74.0120817
Horace A Allyn,,Westmoreland Coal Co,Schooner - Barge,1904.0,"Bath, ME",1928-08-12,1928.0,8,12,Atlantic City,,,39.3642834,-74.4229266,Foundered,Wood,US,190.6,35.2,16.3,859.0,748.0,"Philadelphia, PA","Norfolk, VA","Boston, MA",Howard L Barnes,4.0,0.0,0.0,,,Coal,,,,N,#201154,39.3642834,-74.4229266
Victory (1928),,White Lobster Co,Motor vessel,1903.0,"Friendship, ME",1928-01-19,1928.0,1,19,Barnegat Light NE 1 mi,,,39.7576202,-74.1062466,Foundered,Wood,,46.2,13.1,6.8,21.0,11.0,"Boston, MA","Highlands, NJ",,Charles Anderson,4.0,,0.0,5000.0,150.0,1000 lb fish,,Y,Y,N,#161942 Total loss,39.7576202,-74.1062466
Rex,,Coast Dredging Co,Motor vessel gas,1925.0,"Daytona, FL",1928-04-24,1928.0,4,24,Shrewsbury gas buoy,,,52.7073029,-2.7553268,Foundered,Wood,,38.1,14.1,4.7,25.0,17.0,"St Augustine, FL",,,,2.0,0.0,0.0,,,,,,,N,#225162,52.7073029,-2.7553268
John L Martino,,C C Paul & Co,Schooner 3 masted,1890.0,"Phillipsburg, ME",1928-08-12,1928.0,8,12,Ocean City E 14 mi,39.16528,-74.30333,38.3365032,-75.0849058,Abandoned,Wood,US,126.7,30.4,8.2,257.0,213.0,"Baltimore, MD","Georgetown, SC","New York, NY",,5.0,,,,,,,A,Y,Y,#81300; Total loss,39.16528,-74.30333
Irwin,,Westmoreland Coal Co,Schooner - Barge,1913.0,"Bath, ME",1928-08-12,1928.0,8,12,Between Atlantic City & Ocean City,,,39.3642834,-74.4229266,Foundered in storm,Wood,US,228.4,38.3,19.5,1304.0,1150.0,"Philadelphia, PA","Norfolk, VA","New Bedford, MA",A W Insley,4.0,,,18000.0,8564.0,2141 ton Coal,,Y,Y,N,#211248; Total loss,39.3642834,-74.4229266
Sara H Blaisdel,,Leonard Vander Kooster,Trawler,1900.0,"Sayville, NY",1928-08-12,1928.0,8,12,Seaside Park,,,39.9267852,-74.0770806,Stranded,,,38.0,14.2,4.4,12.0,11.0,"Sheepshead Bay, NY",,,Vander Kooster,4.0,,,,,,,Y,Y,N,Total loss,39.9267852,-74.0770806
Seneca (1928),,Neptune Line,Schooner - Barge,1884.0,"Chester, PA",1928-02-18,1928.0,2,18,Sandy Hook,,,41.4218208,-73.2833176,"Collision w/ ""Siboney""",Iron,,283.7,42.0,24.6,2208.0,2070.0,"New York, NY","Norfolk, VA","Boston, MA",,6.0,,0.0,,,Coal,,Y,Y,N,#116029; Total loss,41.4218208,-73.2833176
Aransas,,T J Hooper,Schooner - Barge,1919.0,"Houston, TX",1928-01-29,1928.0,1,29,Barnegat Light,,,39.7576202,-74.1062466,Foundered,Wood,US,228.0,37.2,20.5,1312.0,1210.0,"Baltimore, MD",,,,4.0,,4.0,,,,,Y,Y,N,"#167645; ""Catonsville"" also lost",39.7576202,-74.1062466
Northern #30,,Northern Barge Corp,Schooner,1918.0,"South Jacksonville, FL",1928-03-10,1928.0,3,10,Absecon Light,,,39.3662285,-74.4143073,Foundered,Wood,US,215.5,40.5,16.3,1264.0,1198.0,"Wilmington, DE","Hampton Roads, VA","Boston, MA",,,,,,,Coal,,,,N,#216421,39.3662285,-74.4143073
